SMILES_OF_LEFT_MMP,SMILES_OF_RIGHT_MMP,ID_OF_LEFT_MMP,ID_OF_RIGHT_MMP,SMIRKS_OF_TRANSFORMATION,SMILES_OF_CONTEXT,SET_OF_LEFT_MMP,SET_OF_RIGHT_MMP,STEP,SCORE
CN(CCc1ccccc1)C1CCN(C2CCN(Cc3ccccc3)CC2)CC1,Cn1c(-c2ccccc2)cn(C2CCN(Cc3ccccc3)CC2)c1=O,generated_DRD2_CompoundSimilarity_253,CHEMBL91669_DRD2_training_39,C1CN([*:1])CCC1N(CC[*:2])[*:3]>>O=c1n([*:1])cc([*:2])n1[*:3],C[*:3].c1ccc(CN2CCC([*:1])CC2)cc1.c1ccc([*:2])cc1,CompoundSimilarity,training,20.0,0.9206799864768982
CN(CCc1ccccc1)C1CCN(C2CCN(Cc3ccccc3)CC2)CC1,CCc1c(-c2ccccc2)nc(O)n1C1CCN(Cc2ccccc2)CC1,generated_DRD2_CompoundSimilarity_253,CHEMBL91498_DRD2_training_1382,C1CN([*:1])CCC1N(CC[*:2])[*:3]>>Oc1nc([*:2])c(C[*:3])n1[*:1],C[*:3].c1ccc(CN2CCC([*:1])CC2)cc1.c1ccc([*:2])cc1,CompoundSimilarity,training,20.0,0.9206799864768982
CN(CCc1ccccc1)C1CCN(C2CCN(Cc3ccccc3)CC2)CC1,Cc1c(-c2ccccc2)n[nH]c1C1CCN(Cc2ccccc2)CC1,generated_DRD2_CompoundSimilarity_253,CHEMBL281195_DRD2_training_712,C1CN([*:1])CCC1N(CC[*:2])[*:3]>>n1[nH]c([*:1])c([*:3])c1[*:2],C[*:3].c1ccc(CN2CCC([*:1])CC2)cc1.c1ccc([*:2])cc1,CompoundSimilarity,training,20.0,0.9206799864768982
CN(CCc1ccccc1)C1CCN(C2CCN(Cc3ccccc3)CC2)CC1,Cc1c(-c2ccccc2)n(C)c(=O)n1C1CCN(Cc2ccccc2)CC1,generated_DRD2_CompoundSimilarity_253,CHEMBL328739_DRD2_training_620,C1CN([*:1])CCC1N(CC[*:2])[*:3]>>Cn1c([*:2])c([*:3])n([*:1])c1=O,C[*:3].c1ccc(CN2CCC([*:1])CC2)cc1.c1ccc([*:2])cc1,CompoundSimilarity,training,20.0,0.9206799864768982
CN1CCN(CCCN2CCN(c3ccccc3)CC2)CC1,c1ccc(CCCCN2CCN(c3ccccc3)CC2)cc1,generated_DRD2_CompoundSimilarity_263,CHEMBL85879_DRD2_training_1273,CN1CCN([*:1])CC1>>c1ccc(C[*:1])cc1,c1ccc(N2CCN(CCC[*:1])CC2)cc1,CompoundSimilarity,training,20.0,0.902071177959442
CN(CCc1ccccc1)C1CCN(C2CCN(Cc3ccccc3)CC2)CC1,Cc1nn(C2CCN(Cc3ccccc3)CC2)cc1-c1ccccc1,generated_DRD2_CompoundSimilarity_253,CHEMBL279247_DRD2_training_389,C1CN([*:1])CCC1N(CC[*:2])[*:3]>>c1c([*:2])c([*:3])nn1[*:1],C[*:3].c1ccc(CN2CCC([*:1])CC2)cc1.c1ccc([*:2])cc1,CompoundSimilarity,training,20.0,0.9206799864768982
CN(CCc1ccccc1)C1CCN(C2CCN(Cc3ccccc3)CC2)CC1,Cc1c(-c2ccccc2)n(C)c(=O)n1C1CCN(Cc2ccccc2)CC1,generated_DRD2_CompoundSimilarity_253,CHEMBL328739_DRD2_training_620,C1CN([*:1])CCC1N(CC[*:2])[*:3]>>Cc1c([*:2])n([*:3])c(=O)n1[*:1],C[*:3].c1ccc(CN2CCC([*:1])CC2)cc1.c1ccc([*:2])cc1,CompoundSimilarity,training,20.0,0.9206799864768982
CN(CCc1ccccc1)C1CCN(C2CCN(Cc3ccccc3)CC2)CC1,Cc1c(-c2ccccc2)nc(O)n1C1CCN(Cc2ccccc2)CC1,generated_DRD2_CompoundSimilarity_253,CHEMBL91162_DRD2_training_266,C1CN([*:1])CCC1N(CC[*:2])[*:3]>>Oc1nc([*:2])c([*:3])n1[*:1],C[*:3].c1ccc(CN2CCC([*:1])CC2)cc1.c1ccc([*:2])cc1,CompoundSimilarity,training,20.0,0.9206799864768982
CN1CCN(CCCCCCN2CCN(c3ccccc3)CC2)CC1,c1ccc(N2CCN(CCCCCCN3CCN(c4ccccn4)CC3)CC2)cc1,generated_DRD2_CompoundSimilarity_636,CHEMBL1171646_DRD2_test_388,C[*:1]>>c1ccc([*:1])nc1,c1ccc(N2CCN(CCCCCCN3CCN([*:1])CC3)CC2)cc1,CompoundSimilarity,test,27.0,0.9431456327438354
CN1CCN(CCCCCCN2CCN(c3ccccc3)CC2)CC1,Cc1cccc(N2CCN(CCCCCCN3CCN(c4ccccc4)CC3)CC2)n1,generated_DRD2_CompoundSimilarity_636,CHEMBL1171824_DRD2_training_1190,C[*:1]>>Cc1cccc([*:1])n1,c1ccc(N2CCN(CCCCCCN3CCN([*:1])CC3)CC2)cc1,CompoundSimilarity,training,27.0,0.9431456327438354
CN1CCN(CCCCCCN2CCN(c3ccccc3)CC2)CC1,c1ccc(N2CCN(CCCCCCN3CCN(c4ccccc4)CC3)CC2)cc1,generated_DRD2_CompoundSimilarity_636,CHEMBL1172205_DRD2_training_664,C[*:1]>>c1ccc([*:1])cc1,c1ccc(N2CCN(CCCCCCN3CCN([*:1])CC3)CC2)cc1,CompoundSimilarity,training,27.0,0.9431456327438354
CN1CCN(CCCCCCN2CCN(c3ccccc3)CC2)CC1,Cc1cccc(N2CCN(CCCCCCN3CCN(c4ccccc4)CC3)CC2)c1,generated_DRD2_CompoundSimilarity_636,CHEMBL1172734_DRD2_training_734,C[*:1]>>Cc1cccc([*:1])c1,c1ccc(N2CCN(CCCCCCN3CCN([*:1])CC3)CC2)cc1,CompoundSimilarity,training,27.0,0.9431456327438354
CN1CCN(CCCCCCN2CCN(c3ccccc3)CC2)CC1,c1ccc(N2CCN(CCCCCCN3CCN(c4ccnc5ccccc45)CC3)CC2)cc1,generated_DRD2_CompoundSimilarity_636,CHEMBL1173017_DRD2_test_311,C[*:1]>>c1ccc2c([*:1])ccnc2c1,c1ccc(N2CCN(CCCCCCN3CCN([*:1])CC3)CC2)cc1,CompoundSimilarity,test,27.0,0.9431456327438354
