SMILES_OF_LEFT_MMP,SMILES_OF_RIGHT_MMP,ID_OF_LEFT_MMP,ID_OF_RIGHT_MMP,SMIRKS_OF_TRANSFORMATION,SMILES_OF_CONTEXT,SET_OF_LEFT_MMP,SET_OF_RIGHT_MMP,STEP,SCORE
CN1CCN(CCCN2CCN(c3ccccc3)CC2)CC1,c1ccc(CCCCN2CCN(c3ccccc3)CC2)cc1,generated_DRD2_ScaffoldSimilarity_220,CHEMBL85879_DRD2_training_1273,CN1CCN([*:1])CC1>>c1ccc(C[*:1])cc1,c1ccc(N2CCN(CCC[*:1])CC2)cc1,ScaffoldSimilarity,training,20.0,0.902071177959442
CN(CCc1ccccc1)C1CCN(C2CCN(Cc3ccccc3)CC2)CC1,CCc1c(-c2ccccc2)nc(O)n1C1CCN(Cc2ccccc2)CC1,generated_DRD2_ScaffoldSimilarity_250,CHEMBL91498_DRD2_training_1382,C1CN([*:1])CCC1N(CC[*:2])[*:3]>>Oc1nc([*:2])c(C[*:3])n1[*:1],C[*:3].c1ccc(CN2CCC([*:1])CC2)cc1.c1ccc([*:2])cc1,ScaffoldSimilarity,training,20.0,0.9206799864768982
CN(CCc1ccccc1)C1CCN(C2CCN(Cc3ccccc3)CC2)CC1,Cc1c(-c2ccccc2)n[nH]c1C1CCN(Cc2ccccc2)CC1,generated_DRD2_ScaffoldSimilarity_250,CHEMBL281195_DRD2_training_712,C1CN([*:1])CCC1N(CC[*:2])[*:3]>>n1[nH]c([*:1])c([*:3])c1[*:2],C[*:3].c1ccc(CN2CCC([*:1])CC2)cc1.c1ccc([*:2])cc1,ScaffoldSimilarity,training,20.0,0.9206799864768982
CN(CCc1ccccc1)C1CCN(C2CCN(Cc3ccccc3)CC2)CC1,Cc1c(-c2ccccc2)n(C)c(=O)n1C1CCN(Cc2ccccc2)CC1,generated_DRD2_ScaffoldSimilarity_250,CHEMBL328739_DRD2_training_620,C1CN([*:1])CCC1N(CC[*:2])[*:3]>>Cn1c([*:2])c([*:3])n([*:1])c1=O,C[*:3].c1ccc(CN2CCC([*:1])CC2)cc1.c1ccc([*:2])cc1,ScaffoldSimilarity,training,20.0,0.9206799864768982
CN(CCc1ccccc1)C1CCN(C2CCN(Cc3ccccc3)CC2)CC1,Cc1nn(C2CCN(Cc3ccccc3)CC2)cc1-c1ccccc1,generated_DRD2_ScaffoldSimilarity_250,CHEMBL279247_DRD2_training_389,C1CN([*:1])CCC1N(CC[*:2])[*:3]>>c1c([*:2])c([*:3])nn1[*:1],C[*:3].c1ccc(CN2CCC([*:1])CC2)cc1.c1ccc([*:2])cc1,ScaffoldSimilarity,training,20.0,0.9206799864768982
CN(CCc1ccccc1)C1CCN(C2CCN(Cc3ccccc3)CC2)CC1,Cc1c(-c2ccccc2)nc(O)n1C1CCN(Cc2ccccc2)CC1,generated_DRD2_ScaffoldSimilarity_250,CHEMBL91162_DRD2_training_266,C1CN([*:1])CCC1N(CC[*:2])[*:3]>>Oc1nc([*:2])c([*:3])n1[*:1],C[*:3].c1ccc(CN2CCC([*:1])CC2)cc1.c1ccc([*:2])cc1,ScaffoldSimilarity,training,20.0,0.9206799864768982
CN(CCc1ccccc1)C1CCN(C2CCN(Cc3ccccc3)CC2)CC1,Cc1c(-c2ccccc2)n(C)c(=O)n1C1CCN(Cc2ccccc2)CC1,generated_DRD2_ScaffoldSimilarity_250,CHEMBL328739_DRD2_training_620,C1CN([*:1])CCC1N(CC[*:2])[*:3]>>Cc1c([*:2])n([*:3])c(=O)n1[*:1],C[*:3].c1ccc(CN2CCC([*:1])CC2)cc1.c1ccc([*:2])cc1,ScaffoldSimilarity,training,20.0,0.9206799864768982
CN(CCc1ccccc1)C1CCN(C2CCN(Cc3ccccc3)CC2)CC1,Cn1c(-c2ccccc2)cn(C2CCN(Cc3ccccc3)CC2)c1=O,generated_DRD2_ScaffoldSimilarity_250,CHEMBL91669_DRD2_training_39,C1CN([*:1])CCC1N(CC[*:2])[*:3]>>O=c1n([*:1])cc([*:2])n1[*:3],C[*:3].c1ccc(CN2CCC([*:1])CC2)cc1.c1ccc([*:2])cc1,ScaffoldSimilarity,training,20.0,0.9206799864768982
CN1CCN(CCCCc2ccccc2)CC1,c1ccc(CCCCN2CCN(c3ccccc3)CC2)cc1,generated_DRD2_ScaffoldSimilarity_589,CHEMBL85879_DRD2_training_1273,C[*:1]>>c1ccc([*:1])cc1,c1ccc(CCCCN2CCN([*:1])CC2)cc1,ScaffoldSimilarity,training,26.0,0.62569659948349
CN1C(NCCc2ccccc2)NCC1C1CCN(Cc2ccccc2)CC1,Oc1nc(-c2ccccc2)cn1C1CCN(Cc2ccccc2)CC1,generated_DRD2_ScaffoldSimilarity_709,CHEMBL93958_DRD2_training_969,CN1C(NCC[*:1])NCC1[*:2]>>Oc1nc([*:1])cn1[*:2],c1ccc(CN2CCC([*:2])CC2)cc1.c1ccc([*:1])cc1,ScaffoldSimilarity,training,28.0,0.7636739015579224
CN1C(NCCc2ccccc2)NCC1C1CCN(Cc2ccccc2)CC1,Cn1c(-c2ccccc2)cn(C2CCN(Cc3ccccc3)CC2)c1=O,generated_DRD2_ScaffoldSimilarity_709,CHEMBL91669_DRD2_training_39,CN1C(NCC[*:1])NCC1[*:2]>>Cn1c([*:1])cn([*:2])c1=O,c1ccc(CN2CCC([*:2])CC2)cc1.c1ccc([*:1])cc1,ScaffoldSimilarity,training,28.0,0.7636739015579224
CN1C(NCCc2ccccc2)NCC1C1CCN(Cc2ccccc2)CC1,CCc1c(-c2ccccc2)nc(O)n1C1CCN(Cc2ccccc2)CC1,generated_DRD2_ScaffoldSimilarity_709,CHEMBL91498_DRD2_training_1382,CN1C(NCC[*:1])NCC1[*:2]>>CCc1c([*:1])nc(O)n1[*:2],c1ccc(CN2CCC([*:2])CC2)cc1.c1ccc([*:1])cc1,ScaffoldSimilarity,training,28.0,0.7636739015579224
CN1C(NCCc2ccccc2)NCC1C1CCN(Cc2ccccc2)CC1,c1ccc(CN2CCC(c3cc(-c4ccccc4)n[nH]3)CC2)cc1,generated_DRD2_ScaffoldSimilarity_709,CHEMBL25938_DRD2_training_1485,CN1C(NCC[*:1])NCC1[*:2]>>c1c([*:1])n[nH]c1[*:2],c1ccc(CN2CCC([*:2])CC2)cc1.c1ccc([*:1])cc1,ScaffoldSimilarity,training,28.0,0.7636739015579224
CN1C(NCCc2ccccc2)NCC1C1CCN(Cc2ccccc2)CC1,Cc1c(-c2ccccc2)n[nH]c1C1CCN(Cc2ccccc2)CC1,generated_DRD2_ScaffoldSimilarity_709,CHEMBL281195_DRD2_training_712,CN1C(NCC[*:1])NCC1[*:2]>>Cc1c([*:1])n[nH]c1[*:2],c1ccc(CN2CCC([*:2])CC2)cc1.c1ccc([*:1])cc1,ScaffoldSimilarity,training,28.0,0.7636739015579224
CN1C(NCCc2ccccc2)NCC1C1CCN(Cc2ccccc2)CC1,Cc1c(-c2ccccc2)n(C)c(=O)n1C1CCN(Cc2ccccc2)CC1,generated_DRD2_ScaffoldSimilarity_709,CHEMBL328739_DRD2_training_620,CN1C(NCC[*:1])NCC1[*:2]>>Cc1c([*:1])n(C)c(=O)n1[*:2],c1ccc(CN2CCC([*:2])CC2)cc1.c1ccc([*:1])cc1,ScaffoldSimilarity,training,28.0,0.7636739015579224
CN1C(NCCc2ccccc2)NCC1C1CCN(Cc2ccccc2)CC1,Cc1c(-c2ccccc2)nc(O)n1C1CCN(Cc2ccccc2)CC1,generated_DRD2_ScaffoldSimilarity_709,CHEMBL91162_DRD2_training_266,CN1C(NCC[*:1])NCC1[*:2]>>Cc1c([*:1])nc(O)n1[*:2],c1ccc(CN2CCC([*:2])CC2)cc1.c1ccc([*:1])cc1,ScaffoldSimilarity,training,28.0,0.7636739015579224
CN1C(NCCc2ccccc2)NCC1C1CCN(Cc2ccccc2)CC1,O=C(Nc1ccccc1)NC1CCN(Cc2ccccc2)CC1,generated_DRD2_ScaffoldSimilarity_709,CHEMBL91621_DRD2_training_42,CN1C(NCC[*:1])NCC1[*:2]>>O=C(N[*:2])N[*:1],c1ccc(CN2CCC([*:2])CC2)cc1.c1ccc([*:1])cc1,ScaffoldSimilarity,training,28.0,0.7636739015579224
CN1C(NCCc2ccccc2)NCC1C1CCN(Cc2ccccc2)CC1,CCc1c(-c2ccccc2)nc(O)n1C1CCN(Cc2ccccc2)CC1,generated_DRD2_ScaffoldSimilarity_709,CHEMBL91498_DRD2_training_1382,C(C[*:1])NC1NCC([*:2])N1[*:3]>>Oc1nc([*:1])c(C[*:3])n1[*:2],C[*:3].c1ccc(CN2CCC([*:2])CC2)cc1.c1ccc([*:1])cc1,ScaffoldSimilarity,training,28.0,0.7636739015579224
CN1C(NCCc2ccccc2)NCC1C1CCN(Cc2ccccc2)CC1,Cc1nn(C2CCN(Cc3ccccc3)CC2)cc1-c1ccccc1,generated_DRD2_ScaffoldSimilarity_709,CHEMBL279247_DRD2_training_389,CN1C(NCC[*:1])NCC1[*:2]>>Cc1nn([*:2])cc1[*:1],c1ccc(CN2CCC([*:2])CC2)cc1.c1ccc([*:1])cc1,ScaffoldSimilarity,training,28.0,0.7636739015579224
CN1C(NCCc2ccccc2)NCC1C1CCN(Cc2ccccc2)CC1,Cc1c(-c2ccccc2)n(C)c(=O)n1C1CCN(Cc2ccccc2)CC1,generated_DRD2_ScaffoldSimilarity_709,CHEMBL328739_DRD2_training_620,C(C[*:1])NC1NCC([*:2])N1[*:3]>>Cn1c([*:1])c([*:3])n([*:2])c1=O,C[*:3].c1ccc(CN2CCC([*:2])CC2)cc1.c1ccc([*:1])cc1,ScaffoldSimilarity,training,28.0,0.7636739015579224
CN1C(NCCc2ccccc2)NCC1C1CCN(Cc2ccccc2)CC1,Cc1c(-c2ccccc2)n(C)c(=O)n1C1CCN(Cc2ccccc2)CC1,generated_DRD2_ScaffoldSimilarity_709,CHEMBL328739_DRD2_training_620,C(C[*:1])NC1NCC([*:2])N1[*:3]>>Cc1c([*:1])n([*:3])c(=O)n1[*:2],C[*:3].c1ccc(CN2CCC([*:2])CC2)cc1.c1ccc([*:1])cc1,ScaffoldSimilarity,training,28.0,0.7636739015579224
CN1C(NCCc2ccccc2)NCC1C1CCN(Cc2ccccc2)CC1,Cc1nn(C2CCN(Cc3ccccc3)CC2)cc1-c1ccccc1,generated_DRD2_ScaffoldSimilarity_709,CHEMBL279247_DRD2_training_389,C(C[*:1])NC1NCC([*:2])N1[*:3]>>c1c([*:1])c([*:3])nn1[*:2],C[*:3].c1ccc(CN2CCC([*:2])CC2)cc1.c1ccc([*:1])cc1,ScaffoldSimilarity,training,28.0,0.7636739015579224
CN1C(NCCc2ccccc2)NCC1C1CCN(Cc2ccccc2)CC1,Cc1c(-c2ccccc2)nc(O)n1C1CCN(Cc2ccccc2)CC1,generated_DRD2_ScaffoldSimilarity_709,CHEMBL91162_DRD2_training_266,C(C[*:1])NC1NCC([*:2])N1[*:3]>>Oc1nc([*:1])c([*:3])n1[*:2],C[*:3].c1ccc(CN2CCC([*:2])CC2)cc1.c1ccc([*:1])cc1,ScaffoldSimilarity,training,28.0,0.7636739015579224
CN1C(NCCc2ccccc2)NCC1C1CCN(Cc2ccccc2)CC1,Cn1c(-c2ccccc2)cn(C2CCN(Cc3ccccc3)CC2)c1=O,generated_DRD2_ScaffoldSimilarity_709,CHEMBL91669_DRD2_training_39,C(C[*:1])NC1NCC([*:2])N1[*:3]>>O=c1n([*:2])cc([*:1])n1[*:3],C[*:3].c1ccc(CN2CCC([*:2])CC2)cc1.c1ccc([*:1])cc1,ScaffoldSimilarity,training,28.0,0.7636739015579224
CN1C(NCCc2ccccc2)NCC1C1CCN(Cc2ccccc2)CC1,Cc1c(-c2ccccc2)n[nH]c1C1CCN(Cc2ccccc2)CC1,generated_DRD2_ScaffoldSimilarity_709,CHEMBL281195_DRD2_training_712,C(C[*:1])NC1NCC([*:2])N1[*:3]>>n1[nH]c([*:2])c([*:3])c1[*:1],C[*:3].c1ccc(CN2CCC([*:2])CC2)cc1.c1ccc([*:1])cc1,ScaffoldSimilarity,training,28.0,0.7636739015579224
CN1CCC(c2ccccc2)CC1C1CCN(Cc2ccccc2)CC1,Cc1c(-c2ccccc2)n[nH]c1C1CCN(Cc2ccccc2)CC1,generated_DRD2_ScaffoldSimilarity_942,CHEMBL281195_DRD2_training_712,C1CN([*:1])C([*:2])CC1[*:3]>>n1[nH]c([*:2])c([*:1])c1[*:3],C[*:1].c1ccc(CN2CCC([*:2])CC2)cc1.c1ccc([*:3])cc1,ScaffoldSimilarity,training,31.0,0.8074878454208374
CN1CCC(c2ccccc2)CC1C1CCN(Cc2ccccc2)CC1,CCc1c(-c2ccccc2)nc(O)n1C1CCN(Cc2ccccc2)CC1,generated_DRD2_ScaffoldSimilarity_942,CHEMBL91498_DRD2_training_1382,C1CN([*:1])C([*:2])CC1[*:3]>>Oc1nc([*:3])c(C[*:1])n1[*:2],C[*:1].c1ccc(CN2CCC([*:2])CC2)cc1.c1ccc([*:3])cc1,ScaffoldSimilarity,training,31.0,0.8074878454208374
