SMILES_OF_LEFT_MMP,SMILES_OF_RIGHT_MMP,ID_OF_LEFT_MMP,ID_OF_RIGHT_MMP,SMIRKS_OF_TRANSFORMATION,SMILES_OF_CONTEXT,SET_OF_LEFT_MMP,SET_OF_RIGHT_MMP,STEP,SCORE
NCc1cccc(N2CCNCC2)c1,FC(F)(F)c1cccc(N2CCNCC2)c1,generated_HTR1A_CompoundSimilarity_26,CHEMBL274866_HTR1A_test_80,NC[*:1]>>FC(F)(F)[*:1],c1cc(N2CCNCC2)cc([*:1])c1,CompoundSimilarity,test,36.0,0.6689451336860657
NCc1cccc(N2CCNCC2)c1,Clc1cccc(N2CCNCC2)c1,generated_HTR1A_CompoundSimilarity_26,CHEMBL478_HTR1A_test_212,NC[*:1]>>Cl[*:1],c1cc(N2CCNCC2)cc([*:1])c1,CompoundSimilarity,test,36.0,0.6689451336860657
c1ccc(C2CCN(c3cccc4[nH]ccc34)CC2)cc1,c1ccc(CNCCOc2cccc3[nH]ccc23)cc1,generated_HTR1A_CompoundSimilarity_53,CHEMBL64283_HTR1A_training_703,C1CN([*:1])CCC1[*:2]>>C(CO[*:1])NC[*:2],c1cc([*:1])c2cc[nH]c2c1.c1ccc([*:2])cc1,CompoundSimilarity,training,43.0,0.6852055191993713
CNCCc1c[nH]c2ccc(F)cc12,CNCCc1c[nH]c2ccc(C(C)(C)C)cc12,generated_HTR1A_CompoundSimilarity_316,CHEMBL357034_HTR1A_training_188,F[*:1]>>CC(C)(C)[*:1],CNCCc1c[nH]c2ccc([*:1])cc12,CompoundSimilarity,training,68.0,0.7150139808654785
CNCCc1c[nH]c2ccc(F)cc12,CNCCc1c[nH]c2ccc(O)cc12,generated_HTR1A_CompoundSimilarity_316,CHEMBL277362_HTR1A_test_383,F[*:1]>>O[*:1],CNCCc1c[nH]c2ccc([*:1])cc12,CompoundSimilarity,test,68.0,0.7150139808654785
NCCc1ccc(OCc2ccccc2)c(N2CCNCC2)c1,c1ccc(COc2ccccc2N2CCNCC2)cc1,generated_HTR1A_CompoundSimilarity_470,22615724_HTR1A_training_40,NCC[*:1]>>[*:1][H],c1ccc(COc2ccc([*:1])cc2N2CCNCC2)cc1,CompoundSimilarity,training,75.0,0.8502057790756226
N=C1NCCN1CCN1CCN(c2cccc3ccccc23)CC1,O=C(CCN1CCN(c2cccc3ccccc23)CC1)c1ccsc1,generated_HTR1A_CompoundSimilarity_663,CHEMBL135295_HTR1A_validation_126,N=C1NCCN1C[*:1]>>O=C(C[*:1])c1ccsc1,c1ccc2c(N3CCN(C[*:1])CC3)cccc2c1,CompoundSimilarity,validation,81.0,0.9787467718124392
N=C1NCCN1CCN1CCN(c2cccc3ccccc23)CC1,O=C(CCN1CCN(c2cccc3ccccc23)CC1)c1ccsc1,generated_HTR1A_CompoundSimilarity_663,CHEMBL135295_HTR1A_validation_126,N=C1NCCN1[*:1]>>O=C(c1ccsc1)[*:1],c1ccc2c(N3CCN(CC[*:1])CC3)cccc2c1,CompoundSimilarity,validation,81.0,0.9787467718124392
NCC1CC1(Cc1cccc(F)c1F)c1ccccc1N1CCNCC1,Fc1cccc(OCc2ccccc2N2CCNCC2)c1F,generated_HTR1A_CompoundSimilarity_685,CHEMBL575714_HTR1A_training_898,NCC1CC1(C[*:1])[*:2]>>C(O[*:1])[*:2],Fc1cccc([*:1])c1F.c1ccc([*:2])c(N2CCNCC2)c1,CompoundSimilarity,training,81.0,0.9460813999176024
Cc1ccccc1N1CCNCC1,CC(C)c1ccccc1N1CCNCC1,generated_HTR1A_CompoundSimilarity_720,CHEMBL276156_HTR1A_training_2013,C[*:1]>>CC(C)[*:1],c1ccc([*:1])c(N2CCNCC2)c1,CompoundSimilarity,training,82.0,0.7471868991851807
Cc1ccccc1N1CCNCC1,CCOc1ccccc1N1CCNCC1,generated_HTR1A_CompoundSimilarity_720,CHEMBL273923_HTR1A_training_164,C[*:1]>>CCO[*:1],c1ccc([*:1])c(N2CCNCC2)c1,CompoundSimilarity,training,82.0,0.7471868991851807
Cc1ccccc1N1CCNCC1,N#Cc1ccccc1N1CCNCC1,generated_HTR1A_CompoundSimilarity_720,CHEMBL275943_HTR1A_training_1626,C[*:1]>>N#C[*:1],c1ccc([*:1])c(N2CCNCC2)c1,CompoundSimilarity,training,82.0,0.7471868991851807
Cc1ccccc1N1CCNCC1,Oc1ccccc1N1CCNCC1,generated_HTR1A_CompoundSimilarity_720,CHEMBL266250_HTR1A_training_1597,C[*:1]>>O[*:1],c1ccc([*:1])c(N2CCNCC2)c1,CompoundSimilarity,training,82.0,0.7471868991851807
