SMILES_OF_LEFT_MMP,SMILES_OF_RIGHT_MMP,ID_OF_LEFT_MMP,ID_OF_RIGHT_MMP,SMIRKS_OF_TRANSFORMATION,SMILES_OF_CONTEXT,SET_OF_LEFT_MMP,SET_OF_RIGHT_MMP,STEP,SCORE
NCc1cccc(N2CCNCC2)c1,FC(F)(F)c1cccc(N2CCNCC2)c1,generated_HTR1A_IdenticalTopologicalScaffold_25,CHEMBL274866_HTR1A_test_80,NC[*:1]>>FC(F)(F)[*:1],c1cc(N2CCNCC2)cc([*:1])c1,IdenticalTopologicalScaffold,test,36.0,0.6689451336860657
NCc1cccc(N2CCNCC2)c1,Clc1cccc(N2CCNCC2)c1,generated_HTR1A_IdenticalTopologicalScaffold_25,CHEMBL478_HTR1A_test_212,NC[*:1]>>Cl[*:1],c1cc(N2CCNCC2)cc([*:1])c1,IdenticalTopologicalScaffold,test,36.0,0.6689451336860657
c1ccc(C2CCN(c3cccc4[nH]ccc34)CC2)cc1,c1ccc(CNCCOc2cccc3[nH]ccc23)cc1,generated_HTR1A_IdenticalTopologicalScaffold_54,CHEMBL64283_HTR1A_training_703,C1CN([*:1])CCC1[*:2]>>C(CO[*:1])NC[*:2],c1cc([*:1])c2cc[nH]c2c1.c1ccc([*:2])cc1,IdenticalTopologicalScaffold,training,43.0,0.6852055191993713
CNCCc1c[nH]c2ccc(F)cc12,CNCCc1c[nH]c2ccc(C(C)(C)C)cc12,generated_HTR1A_IdenticalTopologicalScaffold_311,CHEMBL357034_HTR1A_training_188,F[*:1]>>CC(C)(C)[*:1],CNCCc1c[nH]c2ccc([*:1])cc12,IdenticalTopologicalScaffold,training,68.0,0.7150139808654785
CNCCc1c[nH]c2ccc(F)cc12,CNCCc1c[nH]c2ccc(O)cc12,generated_HTR1A_IdenticalTopologicalScaffold_311,CHEMBL277362_HTR1A_test_383,F[*:1]>>O[*:1],CNCCc1c[nH]c2ccc([*:1])cc12,IdenticalTopologicalScaffold,test,68.0,0.7150139808654785
NCCc1ccc(OCc2ccccc2)c(N2CCNCC2)c1,c1ccc(COc2ccccc2N2CCNCC2)cc1,generated_HTR1A_IdenticalTopologicalScaffold_467,22615724_HTR1A_training_40,NCC[*:1]>>[*:1][H],c1ccc(COc2ccc([*:1])cc2N2CCNCC2)cc1,IdenticalTopologicalScaffold,training,75.0,0.8502057790756226
NCC1CC1(Cc1cccc(F)c1F)c1ccccc1N1CCNCC1,Fc1cccc(OCc2ccccc2N2CCNCC2)c1F,generated_HTR1A_IdenticalTopologicalScaffold_672,CHEMBL575714_HTR1A_training_898,NCC1CC1(C[*:1])[*:2]>>C(O[*:1])[*:2],Fc1cccc([*:1])c1F.c1ccc([*:2])c(N2CCNCC2)c1,IdenticalTopologicalScaffold,training,81.0,0.9460813999176024
N=C1NCCN1CCN1CCN(c2cccc3ccccc23)CC1,O=C(CCN1CCN(c2cccc3ccccc23)CC1)c1ccsc1,generated_HTR1A_IdenticalTopologicalScaffold_667,CHEMBL135295_HTR1A_validation_126,N=C1NCCN1C[*:1]>>O=C(C[*:1])c1ccsc1,c1ccc2c(N3CCN(C[*:1])CC3)cccc2c1,IdenticalTopologicalScaffold,validation,81.0,0.9787467718124392
N=C1NCCN1CCN1CCN(c2cccc3ccccc23)CC1,O=C(CCN1CCN(c2cccc3ccccc23)CC1)c1ccsc1,generated_HTR1A_IdenticalTopologicalScaffold_667,CHEMBL135295_HTR1A_validation_126,N=C1NCCN1[*:1]>>O=C(c1ccsc1)[*:1],c1ccc2c(N3CCN(CC[*:1])CC3)cccc2c1,IdenticalTopologicalScaffold,validation,81.0,0.9787467718124392
Cc1ccccc1N1CCNCC1,CCCc1ccccc1N1CCNCC1,generated_HTR1A_IdenticalTopologicalScaffold_705,CHEMBL9870_HTR1A_training_38,C[*:1]>>CCC[*:1],c1ccc([*:1])c(N2CCNCC2)c1,IdenticalTopologicalScaffold,training,82.0,0.7471868991851807
Cc1ccccc1N1CCNCC1,CCOc1ccccc1N1CCNCC1,generated_HTR1A_IdenticalTopologicalScaffold_705,CHEMBL273923_HTR1A_training_164,C[*:1]>>CCO[*:1],c1ccc([*:1])c(N2CCNCC2)c1,IdenticalTopologicalScaffold,training,82.0,0.7471868991851807
Cc1ccccc1N1CCNCC1,COc1ccccc1N1CCNCC1,generated_HTR1A_IdenticalTopologicalScaffold_705,1346_HTR1A_training_615,C[*:1]>>CO[*:1],c1ccc([*:1])c(N2CCNCC2)c1,IdenticalTopologicalScaffold,training,82.0,0.7471868991851807
Cc1ccccc1N1CCNCC1,Fc1ccccc1N1CCNCC1,generated_HTR1A_IdenticalTopologicalScaffold_705,CHEMBL9429_HTR1A_training_758,C[*:1]>>F[*:1],c1ccc([*:1])c(N2CCNCC2)c1,IdenticalTopologicalScaffold,training,82.0,0.7471868991851807
Cc1ccccc1N1CCNCC1,CC(C)Oc1ccccc1N1CCNCC1,generated_HTR1A_IdenticalTopologicalScaffold_705,CHEMBL9669_HTR1A_training_919,C[*:1]>>CC(C)O[*:1],c1ccc([*:1])c(N2CCNCC2)c1,IdenticalTopologicalScaffold,training,82.0,0.7471868991851807
Cc1ccccc1N1CCNCC1,CCc1ccccc1N1CCNCC1,generated_HTR1A_IdenticalTopologicalScaffold_705,CHEMBL9467_HTR1A_training_934,C[*:1]>>CC[*:1],c1ccc([*:1])c(N2CCNCC2)c1,IdenticalTopologicalScaffold,training,82.0,0.7471868991851807
Cc1ccccc1N1CCNCC1,CCCCc1ccccc1N1CCNCC1,generated_HTR1A_IdenticalTopologicalScaffold_705,CHEMBL9921_HTR1A_training_1094,C[*:1]>>CCCC[*:1],c1ccc([*:1])c(N2CCNCC2)c1,IdenticalTopologicalScaffold,training,82.0,0.7471868991851807
Cc1ccccc1N1CCNCC1,N#Cc1ccccc1N1CCNCC1,generated_HTR1A_IdenticalTopologicalScaffold_705,CHEMBL275943_HTR1A_training_1626,C[*:1]>>N#C[*:1],c1ccc([*:1])c(N2CCNCC2)c1,IdenticalTopologicalScaffold,training,82.0,0.7471868991851807
Cc1ccccc1N1CCNCC1,Clc1ccccc1N1CCNCC1,generated_HTR1A_IdenticalTopologicalScaffold_705,CHEMBL9841_HTR1A_training_1770,C[*:1]>>Cl[*:1],c1ccc([*:1])c(N2CCNCC2)c1,IdenticalTopologicalScaffold,training,82.0,0.7471868991851807
Cc1ccccc1N1CCNCC1,CCCCOc1ccccc1N1CCNCC1,generated_HTR1A_IdenticalTopologicalScaffold_705,CHEMBL9452_HTR1A_training_1983,C[*:1]>>CCCCO[*:1],c1ccc([*:1])c(N2CCNCC2)c1,IdenticalTopologicalScaffold,training,82.0,0.7471868991851807
Cc1ccccc1N1CCNCC1,CC(C)c1ccccc1N1CCNCC1,generated_HTR1A_IdenticalTopologicalScaffold_705,CHEMBL276156_HTR1A_training_2013,C[*:1]>>CC(C)[*:1],c1ccc([*:1])c(N2CCNCC2)c1,IdenticalTopologicalScaffold,training,82.0,0.7471868991851807
Cc1ccccc1N1CCNCC1,Oc1ccccc1N1CCNCC1,generated_HTR1A_IdenticalTopologicalScaffold_705,CHEMBL266250_HTR1A_training_1597,C[*:1]>>O[*:1],c1ccc([*:1])c(N2CCNCC2)c1,IdenticalTopologicalScaffold,training,82.0,0.7471868991851807
COc1ccccc1N1CCN(CCNCC2CCN(c3ccccc3)CC2)CC1,COc1ccccc1N1CCN(CCCCNC(=O)c2ccccc2)CC1,generated_HTR1A_IdenticalTopologicalScaffold_758,CHEMBL26188_HTR1A_test_446,C1CN([*:1])CCC1CNC[*:2]>>O=C(NCCC[*:2])[*:1],COc1ccccc1N1CCN(C[*:2])CC1.c1ccc([*:1])cc1,IdenticalTopologicalScaffold,test,83.0,0.9855834245681764
COc1ccccc1N1CCN(CCNCC2CCN(c3ccccc3)CC2)CC1,COc1ccccc1N1CCN(CCC(O)c2ccccc2)CC1,generated_HTR1A_IdenticalTopologicalScaffold_758,CHEMBL135293_HTR1A_test_175,C1CN([*:1])CCC1CNC[*:2]>>OC(C[*:2])[*:1],COc1ccccc1N1CCN(C[*:2])CC1.c1ccc([*:1])cc1,IdenticalTopologicalScaffold,test,83.0,0.9855834245681764
COc1ccccc1N1CCN(CCNCC2CCN(c3ccccc3)CC2)CC1,COc1ccccc1N1CCN(CCC(=NO)c2ccccc2)CC1,generated_HTR1A_IdenticalTopologicalScaffold_758,CHEMBL135669_HTR1A_test_129,C1CN([*:1])CCC1CNC[*:2]>>ON=C(C[*:2])[*:1],COc1ccccc1N1CCN(C[*:2])CC1.c1ccc([*:1])cc1,IdenticalTopologicalScaffold,test,83.0,0.9855834245681764
COc1ccccc1N1CCN(CCNCC2CCN(c3ccccc3)CC2)CC1,COc1ccccc1N1CCN(CCCCCC(=O)c2ccccc2)CC1,generated_HTR1A_IdenticalTopologicalScaffold_758,CHEMBL158850_HTR1A_test_70,C1CN([*:1])CCC1CNC[*:2]>>O=C(CCCC[*:2])[*:1],COc1ccccc1N1CCN(C[*:2])CC1.c1ccc([*:1])cc1,IdenticalTopologicalScaffold,test,83.0,0.9855834245681764
COc1ccccc1N1CCN(CCNCC2CCN(c3ccccc3)CC2)CC1,COc1ccccc1N1CCN(CCC(=O)c2ccccc2)CC1,generated_HTR1A_IdenticalTopologicalScaffold_758,CHEMBL134676_HTR1A_test_218,C1CN([*:1])CCC1CNC[*:2]>>O=C(C[*:2])[*:1],COc1ccccc1N1CCN(C[*:2])CC1.c1ccc([*:1])cc1,IdenticalTopologicalScaffold,test,83.0,0.9855834245681764
COc1ccccc1N1CCN(CCNCC2CCN(c3ccccc3)CC2)CC1,COc1ccccc1N1CCN(CCCCCC(=O)NCc2ccccc2)CC1,generated_HTR1A_IdenticalTopologicalScaffold_758,CHEMBL495120_HTR1A_test_360,C1CN([*:1])CCC1CNC[*:2]>>O=C(CCCC[*:2])NC[*:1],COc1ccccc1N1CCN(C[*:2])CC1.c1ccc([*:1])cc1,IdenticalTopologicalScaffold,test,83.0,0.9855834245681764
COc1ccccc1N1CCN(CCNCC2CCN(c3ccccc3)CC2)CC1,COc1ccccc1N1CCN(CCN(C(=O)c2ccccc2)c2ccccn2)CC1,generated_HTR1A_IdenticalTopologicalScaffold_758,CHEMBL410521_HTR1A_test_370,C1CN([*:1])CCC1CNC[*:2]>>O=C(N(C[*:2])c1ccccn1)[*:1],COc1ccccc1N1CCN(C[*:2])CC1.c1ccc([*:1])cc1,IdenticalTopologicalScaffold,test,83.0,0.9855834245681764
COc1ccccc1N1CCN(CCNCC2CCN(c3ccccc3)CC2)CC1,COc1ccccc1N1CCN(CCCn2c(=O)ccc(=O)n2-c2ccccc2)CC1,generated_HTR1A_IdenticalTopologicalScaffold_758,45482876_HTR1A_test_512,C1CN([*:1])CCC1CNC[*:2]>>O=c1ccc(=O)n([*:1])n1CC[*:2],COc1ccccc1N1CCN(C[*:2])CC1.c1ccc([*:1])cc1,IdenticalTopologicalScaffold,test,83.0,0.9855834245681764
COc1ccccc1N1CCN(CCNCC2CCN(c3ccccc3)CC2)CC1,COc1ccccc1N1CCN(CCNC(=O)c2ccccc2)CC1,generated_HTR1A_IdenticalTopologicalScaffold_758,CHEMBL106854_HTR1A_test_696,C1CN([*:1])CCC1CNC[*:2]>>O=C(NC[*:2])[*:1],COc1ccccc1N1CCN(C[*:2])CC1.c1ccc([*:1])cc1,IdenticalTopologicalScaffold,test,83.0,0.9855834245681764
COc1ccccc1N1CCN(CCNCC2CCN(c3ccccc3)CC2)CC1,COc1ccccc1N1CCN(Cc2cn(-c3ccccc3)c3ccccc23)CC1,generated_HTR1A_IdenticalTopologicalScaffold_758,CHEMBL3121435_HTR1A_test_615,C1CN([*:1])CCC1CNC[*:2]>>c1ccc2c(c1)c([*:2])cn2[*:1],COc1ccccc1N1CCN(C[*:2])CC1.c1ccc([*:1])cc1,IdenticalTopologicalScaffold,test,83.0,0.9855834245681764
COc1ccccc1N1CCN(CCNCC2CCN(c3ccccc3)CC2)CC1,COc1ccccc1N1CCN(CCNC(=O)c2ccccc2)CC1,generated_HTR1A_IdenticalTopologicalScaffold_758,CHEMBL106854_HTR1A_test_696,C1CN([*:1])CCC1CN[*:2]>>O=C(N[*:2])[*:1],COc1ccccc1N1CCN(CC[*:2])CC1.c1ccc([*:1])cc1,IdenticalTopologicalScaffold,test,83.0,0.9855834245681764
COc1ccccc1N1CCN(CCNCC2CCN(c3ccccc3)CC2)CC1,COc1ccccc1N1CCN(CCCCNC(=O)CCCc2ccccc2)CC1,generated_HTR1A_IdenticalTopologicalScaffold_758,CHEMBL26539_HTR1A_test_628,C1CN([*:1])CCC1CN[*:2]>>O=C(CCC[*:1])NCC[*:2],COc1ccccc1N1CCN(CC[*:2])CC1.c1ccc([*:1])cc1,IdenticalTopologicalScaffold,test,83.0,0.9855834245681764
COc1ccccc1N1CCN(CCNCC2CCN(c3ccccc3)CC2)CC1,COc1ccc(OC(CCN2CCN(c3ccccc3OC)CC2)c2ccccc2)cc1,generated_HTR1A_IdenticalTopologicalScaffold_758,CHEMBL135730_HTR1A_test_577,C1CN([*:1])CCC1CN[*:2]>>COc1ccc(OC([*:2])[*:1])cc1,COc1ccccc1N1CCN(CC[*:2])CC1.c1ccc([*:1])cc1,IdenticalTopologicalScaffold,test,83.0,0.9855834245681764
