SMILES_OF_LEFT_MMP,SMILES_OF_RIGHT_MMP,ID_OF_LEFT_MMP,ID_OF_RIGHT_MMP,SMIRKS_OF_TRANSFORMATION,SMILES_OF_CONTEXT,SET_OF_LEFT_MMP,SET_OF_RIGHT_MMP,STEP,SCORE
c1ccc(C2CCN(c3cccc4[nH]ccc34)CC2)cc1,c1ccc(CNCCOc2cccc3[nH]ccc23)cc1,generated_HTR1A_NoFilter_55,CHEMBL64283_HTR1A_training_703,C1CN([*:1])CCC1[*:2]>>C(CO[*:1])NC[*:2],c1cc([*:1])c2cc[nH]c2c1.c1ccc([*:2])cc1,NoFilter,training,43.0,0.6852055191993713
CNCCc1c[nH]c2ccc(F)cc12,CNCCc1c[nH]c2ccc(C(C)(C)C)cc12,generated_HTR1A_NoFilter_310,CHEMBL357034_HTR1A_training_188,F[*:1]>>CC(C)(C)[*:1],CNCCc1c[nH]c2ccc([*:1])cc12,NoFilter,training,68.0,0.7150139808654785
CNCCc1c[nH]c2ccc(F)cc12,CNCCc1c[nH]c2ccc(O)cc12,generated_HTR1A_NoFilter_310,CHEMBL277362_HTR1A_test_383,F[*:1]>>O[*:1],CNCCc1c[nH]c2ccc([*:1])cc12,NoFilter,test,68.0,0.7150139808654785
NCCc1ccc(OCc2ccccc2)c(N2CCNCC2)c1,c1ccc(COc2ccccc2N2CCNCC2)cc1,generated_HTR1A_NoFilter_468,22615724_HTR1A_training_40,NCC[*:1]>>[*:1][H],c1ccc(COc2ccc([*:1])cc2N2CCNCC2)cc1,NoFilter,training,75.0,0.8502057790756226
NCC1CC1(Cc1cccc(F)c1F)c1ccccc1N1CCNCC1,Fc1cccc(OCc2ccccc2N2CCNCC2)c1F,generated_HTR1A_NoFilter_643,CHEMBL575714_HTR1A_training_898,NCC1CC1(C[*:1])[*:2]>>C(O[*:1])[*:2],Fc1cccc([*:1])c1F.c1ccc([*:2])c(N2CCNCC2)c1,NoFilter,training,81.0,0.9460813999176024
Cc1ccccc1N1CCNCC1,CC(C)c1ccccc1N1CCNCC1,generated_HTR1A_NoFilter_687,CHEMBL276156_HTR1A_training_2013,C[*:1]>>CC(C)[*:1],c1ccc([*:1])c(N2CCNCC2)c1,NoFilter,training,82.0,0.7471868991851807
Cc1ccccc1N1CCNCC1,CCCCOc1ccccc1N1CCNCC1,generated_HTR1A_NoFilter_687,CHEMBL9452_HTR1A_training_1983,C[*:1]>>CCCCO[*:1],c1ccc([*:1])c(N2CCNCC2)c1,NoFilter,training,82.0,0.7471868991851807
Cc1ccccc1N1CCNCC1,Clc1ccccc1N1CCNCC1,generated_HTR1A_NoFilter_687,CHEMBL9841_HTR1A_training_1770,C[*:1]>>Cl[*:1],c1ccc([*:1])c(N2CCNCC2)c1,NoFilter,training,82.0,0.7471868991851807
Cc1ccccc1N1CCNCC1,Oc1ccccc1N1CCNCC1,generated_HTR1A_NoFilter_687,CHEMBL266250_HTR1A_training_1597,C[*:1]>>O[*:1],c1ccc([*:1])c(N2CCNCC2)c1,NoFilter,training,82.0,0.7471868991851807
Cc1ccccc1N1CCNCC1,CCCCc1ccccc1N1CCNCC1,generated_HTR1A_NoFilter_687,CHEMBL9921_HTR1A_training_1094,C[*:1]>>CCCC[*:1],c1ccc([*:1])c(N2CCNCC2)c1,NoFilter,training,82.0,0.7471868991851807
