SMILES_OF_LEFT_MMP,SMILES_OF_RIGHT_MMP,ID_OF_LEFT_MMP,ID_OF_RIGHT_MMP,SMIRKS_OF_TRANSFORMATION,SMILES_OF_CONTEXT,SET_OF_LEFT_MMP,SET_OF_RIGHT_MMP,STEP,SCORE
Oc1[nH]cc2ccc(OCCCCN3CCNCC3)cc12,Oc1[nH]cc2ccc(OCCCCN3CCN(c4cccc5ccccc45)CC3)cc12,generated_clogP_IdenticalTopologicalScaffold_54,46946859_clogP_training_407,[*:1][H]>>c1ccc2c([*:1])cccc2c1,Oc1[nH]cc2ccc(OCCCCN3CCN([*:1])CC3)cc12,IdenticalTopologicalScaffold,training,5.0,0.937780499458313
Oc1nc2ccc(OCCCCN3CCCCC3)cc2[nH]1,Oc1nc2ccc(OCCCCN3CCC(c4cccc(Cl)c4Cl)CC3)cc2[nH]1,generated_clogP_IdenticalTopologicalScaffold_121,56599144_clogP_training_94,[*:1][H]>>Clc1cccc([*:1])c1Cl,Oc1nc2ccc(OCCCCN3CCC([*:1])CC3)cc2[nH]1,IdenticalTopologicalScaffold,training,10.0,1.0
COc1ccccc1N1CCN(CCCCNC(=O)Nc2ccccc2)CC1,COc1ccccc1N1CCN(CCCc2cc(Cl)ccc2OCCc2ccccc2)CC1,generated_clogP_IdenticalTopologicalScaffold_173,CHEMBL11380_clogP_training_23,O=C(NC[*:1])N[*:2]>>Clc1ccc(OCC[*:2])c([*:1])c1,COc1ccccc1N1CCN(CCC[*:1])CC1.c1ccc([*:2])cc1,IdenticalTopologicalScaffold,training,14.0,0.6038280129432678
COc1ccccc1N1CCN(CCCCNC(=O)Nc2ccccc2)CC1,COc1ccccc1N1CCN(CCCCNC(=O)C=Cc2ccc(-c3ccccc3)cc2)CC1,generated_clogP_IdenticalTopologicalScaffold_173,CHEMBL126746_clogP_training_171,O=C(N[*:1])N[*:2]>>O=C(C=Cc1ccc([*:2])cc1)N[*:1],COc1ccccc1N1CCN(CCCC[*:1])CC1.c1ccc([*:2])cc1,IdenticalTopologicalScaffold,training,14.0,0.6038280129432678
COc1ccccc1N1CCN(CCCCNC(=O)Nc2ccccc2)CC1,COc1ccccc1N1CCN(CCc2cc(Cl)ccc2OCCc2ccccc2)CC1,generated_clogP_IdenticalTopologicalScaffold_173,CHEMBL542542_clogP_training_46,O=C(NCC[*:1])N[*:2]>>Clc1ccc(OCC[*:2])c([*:1])c1,COc1ccccc1N1CCN(CC[*:1])CC1.c1ccc([*:2])cc1,IdenticalTopologicalScaffold,training,14.0,0.6038280129432678
COc1ccccc1CN1CN(c2ccccc2)C2(CCN(CCCC(=O)O)CC2)C1=O,COc1ccccc1CN1CN(c2ccccc2)C2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O,generated_clogP_IdenticalTopologicalScaffold_246,CHEMBL135722_clogP_training_214,O=C(O)C[*:1]>>O=C(C[*:1])c1ccc(F)cc1,COc1ccccc1CN1CN(c2ccccc2)C2(CCN(CC[*:1])CC2)C1=O,IdenticalTopologicalScaffold,training,18.0,0.8017598986625671
COc1ccccc1CN1CN(c2ccccc2)C2(CCN(CCCC(=O)O)CC2)C1=O,COc1ccccc1CN1CN(c2ccccc2)C2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O,generated_clogP_IdenticalTopologicalScaffold_246,CHEMBL135722_clogP_training_214,O=C(O)CCC[*:1]>>O=C(CCC[*:1])c1ccc(F)cc1,COc1ccccc1CN1CN(c2ccccc2)C2(CCN([*:1])CC2)C1=O,IdenticalTopologicalScaffold,training,18.0,0.8017598986625671
COc1ccccc1CN1CN(c2ccccc2)C2(CCN(CCCC(=O)O)CC2)C1=O,COc1ccccc1CN1CN(c2ccccc2)C2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O,generated_clogP_IdenticalTopologicalScaffold_246,CHEMBL135722_clogP_training_214,O=C(O)[*:1]>>O=C(c1ccc(F)cc1)[*:1],COc1ccccc1CN1CN(c2ccccc2)C2(CCN(CCC[*:1])CC2)C1=O,IdenticalTopologicalScaffold,training,18.0,0.8017598986625671
COc1ccccc1CN1CN(c2ccccc2)C2(CCN(CCCC(=O)O)CC2)C1=O,COc1ccccc1CN1CN(c2ccccc2)C2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O,generated_clogP_IdenticalTopologicalScaffold_246,CHEMBL135722_clogP_training_214,O=C(O)CC[*:1]>>O=C(CC[*:1])c1ccc(F)cc1,COc1ccccc1CN1CN(c2ccccc2)C2(CCN(C[*:1])CC2)C1=O,IdenticalTopologicalScaffold,training,18.0,0.8017598986625671
O=C(NCCCCN1CCN(c2ncccn2)CC1)c1ccc(-c2cccnc2)cc1,O=C(NCCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(-c2cccnc2)cc1,generated_clogP_IdenticalTopologicalScaffold_307,CHEMBL179960_clogP_training_358,c1cnc([*:1])nc1>>Clc1cccc([*:1])c1Cl,O=C(NCCCCN1CCN([*:1])CC1)c1ccc(-c2cccnc2)cc1,IdenticalTopologicalScaffold,training,21.0,1.0
COc1ccccc1N1CCN(CCCCN2CCN(c3ccccc3)CC2)CC1,COc1ccccc1N1CCN(CCCc2cc(Cl)ccc2OCCc2ccccc2)CC1,generated_clogP_IdenticalTopologicalScaffold_364,CHEMBL11380_clogP_training_23,C1CN([*:1])CCN1C[*:2]>>Clc1ccc(OCC[*:1])c([*:2])c1,COc1ccccc1N1CCN(CCC[*:2])CC1.c1ccc([*:1])cc1,IdenticalTopologicalScaffold,training,23.0,0.6034066081047058
COc1ccccc1N1CCN(CCCCN2CCN(c3ccccc3)CC2)CC1,COc1ccccc1N1CCN(CCc2cc(Cl)ccc2OCCc2ccccc2)CC1,generated_clogP_IdenticalTopologicalScaffold_364,CHEMBL542542_clogP_training_46,C1CN([*:1])CCN1CC[*:2]>>Clc1ccc(OCC[*:1])c([*:2])c1,COc1ccccc1N1CCN(CC[*:2])CC1.c1ccc([*:1])cc1,IdenticalTopologicalScaffold,training,23.0,0.6034066081047058
COc1ccccc1N1CCN(CCCCN2CCN(c3ccccc3)CC2)CC1,COc1ccccc1N1CCN(CCCCNC(=O)C=Cc2ccc(-c3ccccc3)cc2)CC1,generated_clogP_IdenticalTopologicalScaffold_364,CHEMBL126746_clogP_training_171,C1CN([*:1])CCN1[*:2]>>O=C(C=Cc1ccc([*:1])cc1)N[*:2],COc1ccccc1N1CCN(CCCC[*:2])CC1.c1ccc([*:1])cc1,IdenticalTopologicalScaffold,training,23.0,0.6034066081047058
CCOc1ccccc1N1CCN(Cc2cn(-c3ccccc3)c(O)n2)CC1,CCOc1ccccc1N1CCN(Cc2cn(-c3ccccc3)c(-c3ccccc3)n2)CC1,generated_clogP_IdenticalTopologicalScaffold_475,CHEMBL143744_clogP_training_10,O[*:1]>>c1ccc([*:1])cc1,CCOc1ccccc1N1CCN(Cc2cn(-c3ccccc3)c([*:1])n2)CC1,IdenticalTopologicalScaffold,training,27.0,0.7097859382629395
Oc1nc2cccc(N3CCN(Cc4ccccc4)CC3)c2o1,Oc1nc2cccc(N3CCN(Cc4cccc(-c5cccc(Cl)c5)c4)CC3)c2o1,generated_clogP_IdenticalTopologicalScaffold_502,CHEMBL77934_clogP_training_19,[*:1][H]>>Clc1cccc([*:1])c1,Oc1nc2cccc(N3CCN(Cc4cccc([*:1])c4)CC3)c2o1,IdenticalTopologicalScaffold,training,28.0,1.0
