SMILES_OF_LEFT_MMP,SMILES_OF_RIGHT_MMP,ID_OF_LEFT_MMP,ID_OF_RIGHT_MMP,SMIRKS_OF_TRANSFORMATION,SMILES_OF_CONTEXT,SET_OF_LEFT_MMP,SET_OF_RIGHT_MMP,STEP,SCORE
Oc1[nH]cc2ccc(OCCCCN3CCNCC3)cc12,Oc1[nH]cc2ccc(OCCCCN3CCN(c4cccc5ccccc45)CC3)cc12,generated_clogP_NoFilter_46,46946859_clogP_training_407,[*:1][H]>>c1ccc2c([*:1])cccc2c1,Oc1[nH]cc2ccc(OCCCCN3CCN([*:1])CC3)cc12,NoFilter,training,5.0,0.937780499458313
Oc1nc2cccc(N3CCN(Cc4cccc(F)c4)CC3)c2o1,Oc1nc2cccc(N3CCN(Cc4cccc(-c5cccc(Cl)c5)c4)CC3)c2o1,generated_clogP_NoFilter_261,CHEMBL77934_clogP_training_19,F[*:1]>>Clc1cccc([*:1])c1,Oc1nc2cccc(N3CCN(Cc4cccc([*:1])c4)CC3)c2o1,NoFilter,training,19.0,1.0
COc1ccccc1N1CCN(CCC(=O)Nc2ccccc2)CC1,COc1ccccc1N1CCN(CCc2cc(Cl)ccc2OCCc2ccccc2)CC1,generated_clogP_NoFilter_315,CHEMBL542542_clogP_training_46,O=C(N[*:1])[*:2]>>Clc1ccc(OCC[*:1])c([*:2])c1,COc1ccccc1N1CCN(CC[*:2])CC1.c1ccc([*:1])cc1,NoFilter,training,21.0,1.0
Oc1nc2cccc(N3CCN(Cc4ccccc4)CC3)c2o1,Oc1nc2cccc(N3CCN(Cc4cccc(-c5cccc(Cl)c5)c4)CC3)c2o1,generated_clogP_NoFilter_333,CHEMBL77934_clogP_training_19,[*:1][H]>>Clc1cccc([*:1])c1,Oc1nc2cccc(N3CCN(Cc4cccc([*:1])c4)CC3)c2o1,NoFilter,training,22.0,1.0
COc1ccccc1N1CCN(CCNS(=O)(=O)c2ccc3ccccc3c2)CC1,COc1ccccc1N1CCN(Cc2cccc(CNC(=O)c3ccc4ccccc4c3)c2)CC1,generated_clogP_NoFilter_410,CHEMBL127807_clogP_training_6,O=S(=O)(NC[*:1])[*:2]>>O=C(NCc1cccc([*:1])c1)[*:2],COc1ccccc1N1CCN(C[*:1])CC1.c1ccc2cc([*:2])ccc2c1,NoFilter,training,25.0,1.0
COc1ccccc1N1CCN(CCNS(=O)(=O)c2ccc3ccccc3c2)CC1,COc1ccccc1N1CCN(Cc2ccccc2CNC(=O)c2ccc3ccccc3c2)CC1,generated_clogP_NoFilter_410,CHEMBL126312_clogP_training_399,O=S(=O)(NC[*:1])[*:2]>>O=C(NCc1ccccc1[*:1])[*:2],COc1ccccc1N1CCN(C[*:1])CC1.c1ccc2cc([*:2])ccc2c1,NoFilter,training,25.0,1.0
COc1ccccc1N1CCN(CCNS(=O)(=O)c2ccc3ccccc3c2)CC1,COc1ccccc1N1CCN(Cc2cccc(CNC(=O)c3ccc4ccccc4c3)c2)CC1,generated_clogP_NoFilter_410,CHEMBL127807_clogP_training_6,O=S(=O)(NCC[*:1])[*:2]>>O=C(NCc1cccc(C[*:1])c1)[*:2],COc1ccccc1N1CCN([*:1])CC1.c1ccc2cc([*:2])ccc2c1,NoFilter,training,25.0,1.0
COc1ccccc1N1CCN(CCNS(=O)(=O)c2ccc3ccccc3c2)CC1,COc1ccccc1N1CCN(Cc2ccccc2CNC(=O)c2ccc3ccccc3c2)CC1,generated_clogP_NoFilter_410,CHEMBL126312_clogP_training_399,O=S(=O)(NCC[*:1])[*:2]>>O=C(NCc1ccccc1C[*:1])[*:2],COc1ccccc1N1CCN([*:1])CC1.c1ccc2cc([*:2])ccc2c1,NoFilter,training,25.0,1.0
Oc1nc2ccc(OCCCCN3CCCCC3)cc2[nH]1,Oc1nc2ccc(OCCCCN3CCC(c4cccc(Cl)c4Cl)CC3)cc2[nH]1,generated_clogP_NoFilter_441,56599144_clogP_training_94,[*:1][H]>>Clc1cccc([*:1])c1Cl,Oc1nc2ccc(OCCCCN3CCC([*:1])CC3)cc2[nH]1,NoFilter,training,26.0,1.0
COc1ccccc1N1CCN(CCCOc2ccccc2)CC1,COc1ccccc1N1CCN(CCc2cc(Cl)ccc2OCCc2ccccc2)CC1,generated_clogP_NoFilter_1061,CHEMBL542542_clogP_training_46,C(O[*:1])[*:2]>>Clc1ccc(OCC[*:1])c([*:2])c1,COc1ccccc1N1CCN(CC[*:2])CC1.c1ccc([*:1])cc1,NoFilter,training,53.0,0.721274197101593
COc1ccccc1N1CCN(CCCOc2ccccc2)CC1,COc1ccccc1N1CCN(CCCc2cc(Cl)ccc2OCCc2ccccc2)CC1,generated_clogP_NoFilter_1061,CHEMBL11380_clogP_training_23,O([*:1])[*:2]>>Clc1ccc(OCC[*:2])c([*:1])c1,COc1ccccc1N1CCN(CCC[*:1])CC1.c1ccc([*:2])cc1,NoFilter,training,53.0,0.721274197101593
COc1ccccc1N1CCN(CCNC(=O)c2ccc3ccccc3c2)CC1,COc1ccccc1N1CCN(Cc2ccccc2CNC(=O)c2ccc3ccccc3c2)CC1,generated_clogP_NoFilter_1081,CHEMBL126312_clogP_training_399,C([*:1])[*:2]>>c1ccc([*:1])c(C[*:2])c1,COc1ccccc1N1CCN(C[*:1])CC1.O=C(N[*:2])c1ccc2ccccc2c1,NoFilter,training,55.0,0.6197088360786438
COc1ccccc1N1CCN(CCNC(=O)c2ccc3ccccc3c2)CC1,COc1ccccc1N1CCN(Cc2cccc(CNC(=O)c3ccc4ccccc4c3)c2)CC1,generated_clogP_NoFilter_1081,CHEMBL127807_clogP_training_6,C([*:1])[*:2]>>c1cc(C[*:2])cc([*:1])c1,COc1ccccc1N1CCN(C[*:1])CC1.O=C(N[*:2])c1ccc2ccccc2c1,NoFilter,training,55.0,0.6197088360786438
COc1ccccc1N1CCN(CCNC(=O)c2ccc3ccccc3c2)CC1,COc1ccccc1N1CCN(Cc2ccccc2CNC(=O)c2ccc3ccccc3c2)CC1,generated_clogP_NoFilter_1081,CHEMBL126312_clogP_training_399,C([*:1])[*:2]>>c1ccc([*:1])c(C[*:2])c1,COc1ccccc1N1CCN([*:2])CC1.O=C(NC[*:1])c1ccc2ccccc2c1,NoFilter,training,55.0,0.6197088360786438
COc1ccccc1N1CCN(CCNC(=O)c2ccc3ccccc3c2)CC1,COc1ccccc1N1CCN(Cc2cccc(CNC(=O)c3ccc4ccccc4c3)c2)CC1,generated_clogP_NoFilter_1081,CHEMBL127807_clogP_training_6,C([*:1])[*:2]>>c1cc(C[*:2])cc([*:1])c1,COc1ccccc1N1CCN([*:2])CC1.O=C(NC[*:1])c1ccc2ccccc2c1,NoFilter,training,55.0,0.6197088360786438
